ts_name,compression,tol_used,error,SAX_2,oneD_SAX_2,ABBA_2,SAX_DTW,oneD_SAX_DTW,ABBA_DTW,SAX_2_diff,oneD_SAX_2_diff,ABBA_2_diff,SAX_DTW_diff,oneD_SAX_DTW_diff,ABBA_DTW_diff
ECGFiveDays_TEST.tsv_0,0.18382352941176472,0.1,0,8.510243104008842,8.85854435461612,16.675627502138205,7.2575366175748455,8.365145783071446,1.6932156873554163,7.149028740099969,6.541657486159533,8.319039918173743,4.577714110913167,5.157562406956444,1.6248740083878621
ToeSegmentation1_TRAIN.tsv_0,0.15162454873646208,0.2,0,6.766771308436239,8.720035792992745,21.741120421086894,5.186041295956317,7.840592331461566,2.9898189466733722,6.531933107020279,5.777153799935138,7.010418558411811,4.091182250626231,4.097524046346661,2.9236616111821854
ToeSegmentation1_TEST.tsv_0,0.1624548736462094,0.2,0,6.307936928089841,9.01752182205081,17.696835771167432,5.938127053678688,7.543669984760625,2.891490646547149,4.901708806299154,4.19744717424055,4.243799557170538,3.7045171304486946,3.061838124918237,2.3135944390248877
BME_TEST.tsv_0,0.1640625,0.05,0,2.5200899230585017,4.3889853450438325,7.591361475115525,2.1994946302868312,3.6952466614199215,0.4996618545715192,2.385253356969406,2.207021919727386,1.9320253943774095,2.068295111526812,1.9343872919368137,0.3738620928609694
BME_TRAIN.tsv_0,0.1640625,0.05,0,2.891047496832419,4.6927528680116914,18.088901784466035,2.3056980876405353,4.167405803416006,0.3250876219400393,2.2680542568984476,2.2866982302325587,2.3203114310147064,1.7787539302962982,1.8091673596519504,0.35078838816619845
WordSynonyms_TRAIN.tsv_0,0.1814814814814815,0.05,0,5.9516937795417695,9.745132947703265,22.692311033429288,5.725404769371977,8.868032602929915,1.7852081590193514,3.292487933030163,2.9403156893405527,3.15375479807143,3.022509259245899,2.4595656393573453,0.9380365726582369
WordSynonyms_TEST.tsv_0,0.06296296296296296,0.05,0,6.635534709274473,9.66685279851959,24.29291518184875,6.09386040156688,8.200323658672447,0.799247092950256,2.4261656934762983,2.0128166484160546,1.1695265380831243,2.3687873959250094,1.8895881650454767,0.2965411762838615
Rock_TRAIN.tsv_0,0.04852320675105485,0.05,0,7.435834227368363,23.835150569767155,61.69541933914905,7.095413177707805,16.708975117751915,5.232328567091495,2.219288061711114,3.1879206068253434,1.46247614276639,1.907420348276064,2.782110187774504,1.216370929986656
Rock_TEST.tsv_0,0.012658227848101266,0.05,0,12.7947305312153,27.467903569683354,68.14232673307583,12.174592508482622,22.647769682020154,4.4183384069417055,1.8926648640764407,2.630297664553074,0.7826291325253474,1.6400607488980847,2.3998205225468054,0.6984810211028147
Adiac_TEST.tsv_0,0.06818181818181818,0.05,0,4.375524245719109,3.193113061816428,0.6770643182511867,4.108615188842985,1.6833615980423222,0.31008092579221974,3.001421390840161,0.9682717612276304,0.17713241146677317,2.9858166082776307,0.9544601673703436,0.15614197410348768
Adiac_TRAIN.tsv_0,0.07954545454545454,0.05,0,3.7185420090965056,4.665722720705146,2.6463380108670713,3.551223347214144,2.5866180184907352,0.605820881673053,3.054251873002443,1.941694131851348,0.2326426825279129,3.020072286737859,1.861415807220395,0.17925941832873585
GunPointAgeSpan_TEST.tsv_0,0.10666666666666667,0.05,0,2.9970930828649607,5.898622723173876,12.0809372008055,2.7026691038578403,4.594386234998655,0.4585721094470922,2.180608519289779,1.9646592387232324,1.1856229120150124,2.1224793780429816,1.8568061431709237,0.21045053386735021
GunPointAgeSpan_TRAIN.tsv_0,0.08666666666666667,0.05,0,2.5631846919541372,2.70900271861226,1.1048824009936282,2.140705146859973,1.762478402066397,0.27588354978907514,1.8374054693822204,1.7059689634015776,0.2701614404321396,1.801495140182987,1.6716205034425298,0.18130936245608142
AllGestureWiimoteX_TRAIN.tsv_0,0.18,0.30000000000000004,0,4.939327156168157,6.5485220643502435,20.27506921018244,3.886235010258893,5.585796200951869,3.0161070036673125,4.870414503246486,4.4576158159780475,5.37707193234451,3.2939810259721427,2.8469492417336637,2.9270165935554773
AllGestureWiimoteX_TEST.tsv_0,0.16257668711656442,0.35000000000000003,0,9.828409758847858,11.570946083862381,30.528954653503245,8.749942342287246,10.599920085170705,5.484838784889217,7.372500724058293,6.821005948527677,7.839104876048655,4.939492384791771,4.6033065301504035,4.37798686612629
PickupGestureWiimoteZ_TEST.tsv_0,0.1947565543071161,0.2,0,8.642462286412723,10.936919736115678,26.27907653424405,8.027201281168143,9.959955631663496,3.095184342073031,6.811618617839378,6.798353934354828,7.837081797461248,4.2758392800389275,4.391637207073617,4.023130972876422
PickupGestureWiimoteZ_TRAIN.tsv_0,0.10493827160493827,0.2,0,7.758305658700057,10.54918310035768,29.021322842201585,7.1105025131072175,9.252549630148643,2.7823607494064495,5.464011302980409,4.4731262044196844,5.345318431075998,3.8806610770213137,3.366947343764667,2.3944650017807683
FreezerSmallTrain_TEST.tsv_0,0.036544850498338874,0.05,0,7.203935730657175,6.427084490990837,9.871599563275248,3.4636824502720844,3.947607657268016,0.22861055886052456,3.649199317834281,3.5585779578282994,4.071849946808981,0.7894340978692627,1.053655330538615,0.2788033051398502
FreezerSmallTrain_TRAIN.tsv_0,0.029900332225913623,0.05,0,8.903484613125155,7.159369038249036,0.442822816080825,7.49625005517423,6.444706375926811,0.21794008463276737,3.397937323506939,2.936281377859443,0.2723244887758764,2.0136658238428446,2.1716905977748,0.26896536793634496
Haptics_TRAIN.tsv_0,0.054945054945054944,0.05,0,7.248039116060952,14.288745758209041,34.657979292539245,6.893217858718464,10.37597906430549,8.128987884345921,3.3232762216244573,4.067457270941468,3.6053070183514,3.190933057649903,3.8786078998338023,3.2874286462384514
Haptics_TEST.tsv_0,0.05860805860805861,0.05,0,8.598146454311154,14.877615583116487,38.88114041515013,8.250204160845112,10.816327294195853,6.316984571570853,4.007022331838611,4.206704213799602,2.6575705479039073,3.810179643019887,3.9693957627574474,2.3798776504303842
HandOutlines_TRAIN.tsv_0,0.008859357696566999,0.05,0,15.7807513039885,26.58737332499243,7.598115240163515,14.536383197786114,19.39173580586703,1.8121051307816414,3.0254428232838384,3.7659392241431506,0.23880671793445835,3.0030419516524613,3.7279386577644136,0.17438959207844845
HandOutlines_TEST.tsv_0,0.005537098560354375,0.05,0,19.279897307581138,25.85485572382879,10.372442109764313,16.16751722585208,19.74075252778577,3.0023112642508645,3.1005860363308027,2.961403037684374,0.19671574722853089,3.0882725942214817,2.935527828747633,0.14981058492294083
UWaveGestureLibraryY_TEST.tsv_1,0.10476190476190476,0.05,0,3.7693390689272177,7.106335537386903,5.440783236654134,3.6294551832071265,5.516607962295534,0.3428311163708858,2.0513712490183864,2.5499472713621945,0.7416965028935797,1.9320526329433472,2.4026639026510868,0.33518810952173755
UWaveGestureLibraryY_TRAIN.tsv_0,0.06031746031746032,0.05,0,4.621707930871975,7.190234221383251,9.963763482002085,3.9509572038328753,5.728723805069862,0.3855113127289036,2.255516547274667,1.5281754609663514,0.7466293440340124,2.1992505698935183,1.4909759135397158,0.18343833271788015
OSULeaf_TEST.tsv_0,0.1053864168618267,0.05,0,5.975803222111744,8.586852321343164,14.573524197617067,5.414221542481135,6.458972578473426,6.057319978913208,4.297079975654778,3.275743760179216,1.4571258579609476,4.146814884614397,2.9790957593364293,0.4961152754563813
OSULeaf_TRAIN.tsv_0,0.1451990632318501,0.05,0,4.023164016845005,8.251387275165314,6.081117616462716,3.865856631844704,6.347146504638768,1.5080556381460404,2.9439276094563063,3.09630483334843,1.2089924040134765,2.749412802754275,2.6497225127690243,0.5318076367327308
SmallKitchenAppliances_TRAIN.tsv_0,0.034722222222222224,0.05,0,26.308763360644793,26.010131581736594,37.809737247907755,26.095833729895908,25.385154996351904,7.684632494462309,31.17424477695692,31.226498965639287,43.22561334797792,30.431200368120038,29.902477164600608,0.5734699012931814
